,TF1_AI,TF2_AI,TT1_AI,TF1_TNA,TF2_TNA,TT1_TNA,TT2_TNA,TF1_LS,TT1_LS,TT2_LS,TF1_BSTM,TF2_BSTM,TT2_BSTM,TT1_BSTM,TF1_ICO,TT1_ICO,TT2_ICO,TF1_VMH,TF2_VMH,TT1_VMH,TT2_VMH,TF1_POM,TF2_POM,TT1_POM,TT2_POM
42796,8.041227912,7.657288843,7.626437189,7.827155258,7.923878378,7.744545561,7.875828641,7.875779983,7.95438463,7.736772921,7.951000213,7.917793174,7.825802398,8.082136245,8.250865502,8.292787791,8.269876408,7.931571833,7.978682166,7.98254637,7.875696944,7.940032726,7.87640424,7.951276381,7.7494888
42797,8.128448498,7.631158396,8.108102992,7.677254357,7.827547154,7.676675848,7.738494074,7.727852548,7.788209164,7.695835495,7.70968172,7.736616619,7.605031138,7.637766306,7.575203131,7.646389852,7.632394056,7.748240988,7.932134705,8.120429352,8.049556926,7.736981072,7.922223581,7.909290106,7.927060951
42798,8.217200791,8.229510265,8.422468885,8.192146073,8.251288904,8.399668517,8.492066175,8.573766808,8.314399722,8.40274326,8.358441277,8.338062309,8.306672887,8.411505184,7.921417246,8.213146743,8.142277067,8.021945808,8.169261741,7.963198391,7.903342157,8.126070618,8.120386776,8.135807292,8.00551164
42799,9.329970152,9.302637792,9.362968157,9.36191419,9.388240024,9.233105247,9.29466281,9.271138732,9.368896965,9.326444808,9.01587282,8.893718198,9.089825924,8.976685594,8.948242465,8.890568205,8.840385496,8.890929467,8.936967634,8.920406967,8.871323552,8.736984993,8.795848324,8.917595924,8.894149729
42800,11.69133893,11.78656436,11.91007354,11.67762958,11.82856886,11.7850698,11.79220271,11.65489762,11.68308556,11.89581089,11.70400545,11.68902188,11.62415857,11.64604933,11.53716896,11.63732742,11.70346373,11.59546096,11.64250679,11.66884865,11.63443057,11.58908024,11.54175188,11.53186018,11.64027546
42801,10.71094677,10.47278963,10.67643271,10.73797174,10.68096672,10.44781805,10.56558494,10.63923792,10.61037075,10.58090805,10.52964729,10.37730868,10.47954495,10.42140155,10.23495041,10.14894656,10.1573127,10.5351389,10.28712099,10.28529633,10.45492153,10.51468569,10.28701963,10.4958099,10.47712947
42802,8.004308708,8.044716087,7.799003389,7.86605729,7.738041173,7.81550508,7.748974387,7.898431233,7.501032404,7.842858823,7.837639536,7.858434533,7.825802398,7.907231681,7.975827979,7.68690653,7.973574582,7.952329942,7.770366588,7.838907673,7.764661601,7.854060113,7.571884687,7.885208316,7.70683001
42805,8.085692837,7.766413013,7.993166593,8.033142503,7.763286609,7.881696143,7.819300794,7.920594486,7.882196355,8.162485626,7.817449629,7.606647407,7.721943951,7.29056515,7.668494683,7.641772837,7.396328889,7.49532385,7.423238101,7.405609019,7.55412701,7.66418203,7.473342001,7.507461213,7.484549822
42980,9.878498462,10.18349244,9.974816583,10.16136162,10.39335982,9.935383588,9.816397911,9.866671821,9.926071718,9.730894533,9.738216081,9.560623334,9.451730601,9.704802725,9.057813123,9.032843196,9.010119694,9.774539576,9.950219771,9.642577956,9.53500979,9.829186289,9.828389547,9.768059249,9.675338626
42981,10.19828605,10.07233885,10.22916805,9.817666143,9.642339684,9.728653856,9.9838738,9.989679538,9.852857606,9.717947828,10.23279939,10.04039044,10.17869755,10.11618876,10.03643159,9.911671209,10.10666573,10.13171817,10.06900309,9.922080186,10.02749585,9.960096002,9.99486,9.987586299,9.936863397
